Pressure(bar),Loading(mmol/g)
0.01,0.007168033
0.011942772,0.008553413
0.014262979,0.010205744
0.017033951,0.012176217
0.020343258,0.014525756
0.024295489,0.017326852
0.029015547,0.020665719
0.034652605,0.024644849
0.041384815,0.029386027
0.04942494,0.035033878
0.059027077,0.041760046
0.07049469,0.049768096
0.084190198,0.059299255
0.100546431,0.070639117
0.120080306,0.084125444
0.143409167,0.10015721
0.171270293,0.119205032
0.2045442,0.141823132
0.244282466,0.168662951
0.291740971,0.200488498
0.348419579,0.238193456
0.416109546,0.282819942
0.496950127,0.33557865
0.593496188,0.397869808
0.708798943,0.471304004
0.846502391,0.557721253
1.010958473,0.69753242
1.207364616,0.868904942
1.441927988,1.03531449
1.722061666,1.232419497
2.05661892,1.465093153
2.456173008,1.73845905
2.93335133,2.057535651
3.503234502,2.426627838
4.18383296,2.848393205
4.996656156,3.322567571
5.967392335,3.844480682
7.126720385,4.403743593
8.511279398,4.983764322
10.16482661,5.562817273
12.13962028,6.116969323
14.49807126,6.624248234
17.3147154,7.068579121
20.67856917,7.468205581
24.69594291,7.776783604
29.49380063,8.020254048
35.22377252,8.207467661
42.06694709,8.348497102
50.2395942,8.41534887
